ID,Tipo,COD,Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterna,Testo del pulsante,Posizione,Variation Gallery,Swatches Attributes,Attributo 1 nome,Attributo 1 valuta(e),Attributo 1 visibile,Attributo 1 globale,Attributo 2 nome,Attributo 2 valuta(e),Attributo 2 visibile,Attributo 2 globale,Attributo 3 nome,Attributo 3 valuta(e),Attributo 3 visibile,Attributo 3 globale,Attributo 4 nome,Attributo 4 valuta(e),Attributo 4 visibile,Attributo 4 globale,Attributo 5 nome,Attributo 5 valuta(e),Attributo 5 visibile,Attributo 5 globale,Attributo 6 nome,Attributo 6 valuta(e),Attributo 6 visibile,Attributo 6 globale,Attributo 7 nome,Attributo 7 valuta(e),Attributo 7 visibile,Attributo 7 globale,Attributo 8 nome,Attributo 8 valuta(e),Attributo 8 visibile,Attributo 8 globale,Attributo 9 nome,Attributo 9 valuta(e),Attributo 9 visibile,Attributo 9 globale,Attributo 10 nome,Attributo 10 valuta(e),Attributo 10 visibile,Attributo 10 globale,Attributo 11 nome,Attributo 11 valuta(e),Attributo 11 visibile,Attributo 11 globale,Attributo 12 nome,Attributo 12 valuta(e),Attributo 12 visibile,Attributo 12 globale,Attributo 13 nome,Attributo 13 valuta(e),Attributo 13 visibile,Attributo 13 globale,Attributo 14 nome,Attributo 14 valuta(e),Attributo 14 visibile,Attributo 14 globale
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi > Aree Gioco > Crooc, Giochi per parchi, Giochi per parchi > Torri > Qubix, Giochi per parchi > Torri",Vinci Play,,https://www.play-lab.it/wp-content/uploads/2024/01/3330-25021s.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,250 cm,1,1,Larghezza,245 cm,1,1,Altezza Totale,225 cm,1,1,Età,14-Apr,1,1,Numero di Utenti,20,1,1,Zona di Sicurezza,"28,0 m2",1,1,Altezza di Caduta Libera,<60 cm,1,1,In conformità alla norma EN,1176-1:2017,1,1,Peso della parte più pesante,47 kg,1,1,Dimensioni della parte più grande,190x14x14 cm,1,1,Materiale,"Acciaio inossidabile, Policarbonato",1,1,Tempo di installazione,2 ore,1,1,,,,,,,,

4856,simple,,QUBIX 2503,1,1,visible,"Le serie QUBIX sono costruzioni geometriche piene di elementi di attività. Il loro design moderno si adatta perfettamente agli spazi urbani, offrendo a bambini e adolescenti un luogo ideale per sviluppare la coordinazione motoria. La grafica interessante e le forme simmetriche della struttura in acciaio delizieranno i bambini e gli operatori sanitari.","<ul>
\n 	<li>Costruzione zincata a caldo e verniciata a polvere del profilo 140x140 mm,</li>
\n 	<li>Pannelli in policarbonato trasparente con stampa resistente agli agenti atmosferici,</li>
\n 	<li>Coperture realizzate in rete di acciaio zincato a caldo e verniciato a polvere,</li>
\n 	<li>Pannelli laterali realizzati in durevole lastra HPL, resistente alle condizioni atmosferiche,</li>
\n 	<li>Elementi mobili realizzati in durevole piastra HPL, resistente agli agenti atmosferici,</li>
\n 	<li>Finestre sferiche in policarbonato, Pannelli musicali in tubi di acciaio inossidabile, con pala in gomma certificata e sicura fissata,</li>
\n 	<li>""Tubo parlante"" - un tubo in acciaio zincato a caldo e verniciato a polvere,</li>
\n 	<li>Funi d'acciaio in treccia di polipropilene, collegate con elementi in plastica resistente, acciaio inossidabile o alluminio,</li>
\n 	<li>Catene calibrate in acciaio inossidabile, che impediscono l'intrappolamento delle dita,</li>
\n 	<li>Viti in acciaio inox e/o viti ricoperte con tappi in plastica,</li>
\n</ul>
\n<h3>Informazioni aggiuntive</h3>
\n<ul>
\n 	<li>attrezzature adatte per disabili; destinato ai parchi giochi pubblici;</li>
\n 	<li>l'apparecchiatura dispone di un certificato rilasciato da un ente accreditato o di una dichiarazione di conformità;</li>
\n 	<li>assenza di spigoli vivi o fessure che possano costituire pericolo di schiacciamento della testa, delle dita o di qualsiasi altra parte del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>il rendering è solo di riferimento, l'aspetto reale dell'apparecchiatura e il suo colore possono variare;</li>
\n</ul>",,,,,,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi > Aree Gioco > Crooc, Giochi per parchi, Giochi per parchi > Torri > Qubix, Giochi per parchi > Torri",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/05f8-25031s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/9ec0-25032s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,765 cm,1,1,Larghezza,315 cm,1,1,Altezza Totale,445 cm,1,1,Età,14-Apr,1,1,Numero di Utenti,20,1,1,Zona di Sicurezza,"43,9 m2",1,1,Altezza di Caduta Libera,< 60 cm,1,1,,1176-1:2017,1,1,Peso della parte più pesante,216 kg,1,1,Dimensioni della parte più grande,498x327x86 cm,1,1,,,1,1,,4 ore,1,1,,,,,,,,

4857,simple,,QUBIX 2504,1,1,visible,"Le serie QUBIX sono costruzioni geometriche piene di elementi di attività. Il loro design moderno si adatta perfettamente agli spazi urbani, offrendo a bambini e adolescenti un luogo ideale per sviluppare la coordinazione motoria. La grafica interessante e le forme simmetriche della struttura in acciaio delizieranno i bambini e gli operatori sanitari.","<ul>
\n 	<li>Costruzione zincata a caldo e verniciata a polvere del profilo 140x140 mm,</li>
\n 	<li>Pannelli in policarbonato trasparente con stampa resistente agli agenti atmosferici,</li>
\n 	<li>Coperture realizzate in rete di acciaio zincato a caldo e verniciato a polvere,</li>
\n 	<li>Pannelli laterali realizzati in durevole lastra HPL, resistente alle condizioni atmosferiche,</li>
\n 	<li>Elementi mobili realizzati in durevole piastra HPL, resistente agli agenti atmosferici,</li>
\n 	<li>Finestre sferiche in policarbonato, Pannelli musicali in tubi di acciaio inossidabile, con pala in gomma certificata e sicura fissata,</li>
\n 	<li>""Tubo parlante"" - un tubo in acciaio zincato a caldo e verniciato a polvere,</li>
\n 	<li>Funi d'acciaio in treccia di polipropilene, collegate con elementi in plastica resistente, acciaio inossidabile o alluminio,</li>
\n 	<li>Catene calibrate in acciaio inossidabile, che impediscono l'intrappolamento delle dita,</li>
\n 	<li>Viti in acciaio inox e/o viti ricoperte con tappi in plastica,</li>
\n</ul>
\n<h3>Informazioni aggiuntive</h3>
\n<ul>
\n 	<li>attrezzature adatte per disabili; destinato ai parchi giochi pubblici;</li>
\n 	<li>l'apparecchiatura dispone di un certificato rilasciato da un ente accreditato o di una dichiarazione di conformità;</li>
\n 	<li>assenza di spigoli vivi o fessure che possano costituire pericolo di schiacciamento della testa, delle dita o di qualsiasi altra parte del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>il rendering è solo di riferimento, l'aspetto reale dell'apparecchiatura e il suo colore possono variare;</li>
\n</ul>",,,,,,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi > Aree Gioco > Crooc, Giochi per parchi, Giochi per parchi > Torri > Qubix, Giochi per parchi > Torri",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/5b10-25041s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/6f4c-25042s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,1030 cm,1,1,Larghezza,325 cm,1,1,Altezza Totale,665 cm,1,1,Età,14-Apr,1,1,Numero di Utenti,20,1,1,Zona di Sicurezza,"43,7 m2",1,1,Altezza di Caduta Libera,< 60 cm,1,1,,1176-1:2017,1,1,Peso della parte più pesante,216 kg,1,1,Dimensioni della parte più grande,498x327x86 cm,1,1,,,1,1,,6 ore,1,1,,,,,,,,

4858,simple,,QUBIX 2505,1,1,visible,"Le serie QUBIX sono costruzioni geometriche piene di elementi di attività. Il loro design moderno si adatta perfettamente agli spazi urbani, offrendo a bambini e adolescenti un luogo ideale per sviluppare la coordinazione motoria. La grafica interessante e le forme simmetriche della struttura in acciaio delizieranno i bambini e gli operatori sanitari.","<ul>
\n 	<li>Costruzione zincata a caldo e verniciata a polvere del profilo 140x140 mm,</li>
\n 	<li>Pannelli in policarbonato trasparente con stampa resistente agli agenti atmosferici,</li>
\n 	<li>Coperture realizzate in rete di acciaio zincato a caldo e verniciato a polvere,</li>
\n 	<li>Pannelli laterali realizzati in durevole lastra HPL, resistente alle condizioni atmosferiche,</li>
\n 	<li>Elementi mobili realizzati in durevole piastra HPL, resistente agli agenti atmosferici,</li>
\n 	<li>Finestre sferiche in policarbonato, Pannelli musicali in tubi di acciaio inossidabile, con pala in gomma certificata e sicura fissata,</li>
\n 	<li>""Tubo parlante"" - un tubo in acciaio zincato a caldo e verniciato a polvere,</li>
\n 	<li>Funi d'acciaio in treccia di polipropilene, collegate con elementi in plastica resistente, acciaio inossidabile o alluminio,</li>
\n 	<li>Catene calibrate in acciaio inossidabile, che impediscono l'intrappolamento delle dita,</li>
\n 	<li>Viti in acciaio inox e/o viti ricoperte con tappi in plastica,</li>
\n</ul>
\n<h3>Informazioni aggiuntive</h3>
\n<ul>
\n 	<li>attrezzature adatte per disabili; destinato ai parchi giochi pubblici;</li>
\n 	<li>l'apparecchiatura dispone di un certificato rilasciato da un ente accreditato o di una dichiarazione di conformità;</li>
\n 	<li>assenza di spigoli vivi o fessure che possano costituire pericolo di schiacciamento della testa, delle dita o di qualsiasi altra parte del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>il rendering è solo di riferimento, l'aspetto reale dell'apparecchiatura e il suo colore possono variare;</li>
\n</ul>",,,,,,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi > Aree Gioco > Crooc, Giochi per parchi, Giochi per parchi > Torri > Qubix, Giochi per parchi > Torri",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/e624-25051s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/88d1-25052s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,1320 cm,1,1,Larghezza,955 cm,1,1,Altezza Totale,890 cm,1,1,Età,14-Apr,1,1,Numero di Utenti,20,1,1,Zona di Sicurezza,"73,5 m2",1,1,Altezza di Caduta Libera,150 cm,1,1,,1176-1:2017,1,1,Peso della parte più pesante,216 kg,1,1,Dimensioni della parte più grande,498x327x86 cm,1,1,,,1,1,,8 ore,1,1,,,,,,,,

4859,simple,,QUBIX 2506,1,1,visible,"Le serie QUBIX sono costruzioni geometriche piene di elementi di attività. Il loro design moderno si adatta perfettamente agli spazi urbani, offrendo a bambini e adolescenti un luogo ideale per sviluppare la coordinazione motoria. La grafica interessante e le forme simmetriche della struttura in acciaio delizieranno i bambini e gli operatori sanitari.","<ul>
\n 	<li>Costruzione zincata a caldo e verniciata a polvere del profilo 140x140 mm,</li>
\n 	<li>Pannelli in policarbonato trasparente con stampa resistente agli agenti atmosferici,</li>
\n 	<li>Coperture realizzate in rete di acciaio zincato a caldo e verniciato a polvere,</li>
\n 	<li>Pannelli laterali realizzati in durevole lastra HPL, resistente alle condizioni atmosferiche,</li>
\n 	<li>Elementi mobili realizzati in durevole piastra HPL, resistente agli agenti atmosferici,</li>
\n 	<li>Finestre sferiche in policarbonato, Pannelli musicali in tubi di acciaio inossidabile, con pala in gomma certificata e sicura fissata,</li>
\n 	<li>""Tubo parlante"" - un tubo in acciaio zincato a caldo e verniciato a polvere,</li>
\n 	<li>Funi d'acciaio in treccia di polipropilene, collegate con elementi in plastica resistente, acciaio inossidabile o alluminio,</li>
\n 	<li>Catene calibrate in acciaio inossidabile, che impediscono l'intrappolamento delle dita,</li>
\n 	<li>Viti in acciaio inox e/o viti ricoperte con tappi in plastica,</li>
\n</ul>
\n<h3>Informazioni aggiuntive</h3>
\n<ul>
\n 	<li>attrezzature adatte per disabili; destinato ai parchi giochi pubblici;</li>
\n 	<li>l'apparecchiatura dispone di un certificato rilasciato da un ente accreditato o di una dichiarazione di conformità;</li>
\n 	<li>assenza di spigoli vivi o fessure che possano costituire pericolo di schiacciamento della testa, delle dita o di qualsiasi altra parte del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>il rendering è solo di riferimento, l'aspetto reale dell'apparecchiatura e il suo colore possono variare;</li>
\n</ul>",,,,,,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi > Aree Gioco > Crooc, Giochi per parchi, Giochi per parchi > Torri > Qubix, Giochi per parchi > Torri",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/425b-25061s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/ba7c-25062s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,2050 cm,1,1,Larghezza,780 cm,1,1,Altezza Totale,665 cm,1,1,Età,14-Apr,1,1,Numero di Utenti,20,1,1,Zona di Sicurezza,"85,6 m2",1,1,Altezza di Caduta Libera,< 60 cm,1,1,,1176-1:2017,1,1,Peso della parte più pesante,216x kg,1,1,Dimensioni della parte più grande,498x327x86 cm,1,1,,,1,1,,12 ore,1,1,,,,,,,,

4860,simple,,QUBIX 2507,1,1,visible,"Le serie QUBIX sono costruzioni geometriche piene di elementi di attività. Il loro design moderno si adatta perfettamente agli spazi urbani, offrendo a bambini e adolescenti un luogo ideale per sviluppare la coordinazione motoria. La grafica interessante e le forme simmetriche della struttura in acciaio delizieranno i bambini e gli operatori sanitari.","<ul>
\n 	<li>Costruzione zincata a caldo e verniciata a polvere del profilo 140x140 mm,</li>
\n 	<li>Pannelli in policarbonato trasparente con stampa resistente agli agenti atmosferici,</li>
\n 	<li>Coperture realizzate in rete di acciaio zincato a caldo e verniciato a polvere,</li>
\n 	<li>Pannelli laterali realizzati in durevole lastra HPL, resistente alle condizioni atmosferiche,</li>
\n 	<li>Elementi mobili realizzati in durevole piastra HPL, resistente agli agenti atmosferici,</li>
\n 	<li>Finestre sferiche in policarbonato, Pannelli musicali in tubi di acciaio inossidabile, con pala in gomma certificata e sicura fissata,</li>
\n 	<li>""Tubo parlante"" - un tubo in acciaio zincato a caldo e verniciato a polvere,</li>
\n 	<li>Funi d'acciaio in treccia di polipropilene, collegate con elementi in plastica resistente, acciaio inossidabile o alluminio,</li>
\n 	<li>Catene calibrate in acciaio inossidabile, che impediscono l'intrappolamento delle dita,</li>
\n 	<li>Viti in acciaio inox e/o viti ricoperte con tappi in plastica,</li>
\n</ul>
\n<h3>Informazioni aggiuntive</h3>
\n<ul>
\n 	<li>attrezzature adatte per disabili; destinato ai parchi giochi pubblici;</li>
\n 	<li>l'apparecchiatura dispone di un certificato rilasciato da un ente accreditato o di una dichiarazione di conformità;</li>
\n 	<li>assenza di spigoli vivi o fessure che possano costituire pericolo di schiacciamento della testa, delle dita o di qualsiasi altra parte del corpo;</li>
\n 	<li>ancoraggio su superficie piana, profondità 80/70/60 cm;</li>
\n 	<li>il rendering è solo di riferimento, l'aspetto reale dell'apparecchiatura e il suo colore possono variare;</li>
\n</ul>",,,,,,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi > Aree Gioco > Crooc, Giochi per parchi, Giochi per parchi > Torri > Qubix, Giochi per parchi > Torri",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/e106-25071s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/b846-25072s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,2315 cm,1,1,Larghezza,1365 cm,1,1,Altezza Totale,885 cm,1,1,Età,14-Apr,1,1,Numero di Utenti,20,1,1,Zona di Sicurezza,"133,5 m2",1,1,Altezza di Caduta Libera,99 cm,1,1,,1176-1:2017,1,1,Peso della parte più pesante,216 kg,1,1,Dimensioni della parte più grande,498x327x86 cm,1,1,,,1,1,,18 ore,1,1,,,,,,,,

4861,simple,,JUMPOO 2200,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,https://www.play-lab.it/wp-content/uploads/2024/01/2200-2204.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,150 cm,1,1,Larghezza,150 cm,1,1,Altezza Totale,5 cm,1,1,,,1,1,,,1,1,,"13,6 m2",1,1,,90 cm,1,1,,1176-1:2017,1,1,,,1,1,,,1,1,,,1,1,,2 ore,1,1,,,,,,,,

4862,simple,,JUMPOO 2201,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,https://www.play-lab.it/wp-content/uploads/2024/01/2201-2205.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,200 cm,1,1,Larghezza,200 cm,1,1,Altezza Totale,5 cm,1,1,,,1,1,,,1,1,,"26,2 m2",1,1,,90 cm,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,4 ore,1,1,,,,,,,,

4863,simple,,JUMPOO 2202,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,https://www.play-lab.it/wp-content/uploads/2024/01/2202-2206.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,150 cm,1,1,Larghezza,150 cm,1,1,Altezza Totale,5 cm,1,1,,,1,1,,,1,1,,"12,1 m2",1,1,,90 cm,1,1,,1176-1:2017,1,1,,,1,1,,,1,1,,,1,1,,6 ore,1,1,,,,,,,,

4864,simple,,JUMPOO 2203,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,https://www.play-lab.it/wp-content/uploads/2024/01/2203-2207.jpg,,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,200 cm,1,1,Larghezza,200 cm,1,1,Altezza Totale,5 cm,1,1,,,1,1,,,1,1,,"23,2 m2",1,1,,90 cm,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,8 ore,1,1,,,,,,,,

4865,simple,,JUMPOO 2211,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/d7e1-2211c11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2fca-22111s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/6dad-2211c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/6910-2211c41s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/7221-2211c121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/c3be-2211c13c1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,150 cm,1,1,Larghezza,150 cm,1,1,Altezza Totale,,1,1,,4 - 15 years,1,1,,,1,1,,"12,6 m2",1,1,,90 cm,1,1,,1176-1:2017,1,1,,110 kg,1,1,,150x150x31 cm,1,1,,,1,1,,12 ore,1,1,,,,,,,,

4866,simple,,JUMPOO 2212,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/ce4b-22121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/0e45-2212c21s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/848d-2212c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/3fe4-2212c41s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/711c-2212c121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/5e9e-2212c131s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,150 cm,1,1,Larghezza,150 cm,1,1,Altezza Totale,,1,1,,4 - 15 years,1,1,,,1,1,,"14,1 m2",1,1,,90 cm,1,1,,1176-1:2017,1,1,,104 kg,1,1,,150x150x31 cm,1,1,,,1,1,,18 ore,1,1,,,,,,,,

4867,simple,,JUMPOO 2213,1,1,visible,,,,,,,,,,0,0,,,,,0,,,,,Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/2dec-2213c11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/8dc7-2213c21s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/5777-2213c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/8139-22131s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/749e-2213c121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/04b3-2213c131s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,200 cm,1,1,Larghezza,200 cm,1,1,Altezza Totale,,1,1,,4 - 15 years,1,1,,,1,1,,"26,8 m2",1,1,,90 cm,1,1,,1176-1:2017,1,1,,162 kg,1,1,,200x200x31 cm,1,1,,,1,1,,,1,1,,,,,,,,
